Category,Caliber,Product,Description,Cost,RoundsPerBox,Usage,CostPerRound
Rifle,7.62 x 39mm,7.62 x 39mm - 110gn V-Max,110gn V-Max,17.00,20,Hunting,0.85
Rifle,7.62 x 39mm,7.62 x 39mm - 123gn Full Metal Jacket - (FMJ),123gn Full Metal Jacket - (FMJ),15.00,20,Target / Training,0.75
Rifle,7.62 x 39mm,7.62 x 39mm - 150gn Full Metal Jacket Boat Tail - (FMJBT),150gn Full Metal Jacket Boat Tail - (FMJBT),16.00,20,Hunting / Training / Target,0.80
Rifle,30-06,30-06 - 150gn Interlock Pointed Soft Point - (PSP),150gn Interlock Pointed Soft Point - (PSP),35.00,20,Hunting,1.75
Rifle,30-06,30-06 - 150gn SST,150gn SST,35.00,20,Hunting,1.75
Rifle,30-06,30-06 - 168gn Boat Tail Hollow Point - (BTHP),168gn Boat Tail Hollow Point - (BTHP),40.00,20,Hunting,2.00
Rifle,30-06,30-06 - 175gn Boat Tail Hollow Point Match - (BTHPM),175gn Boat Tail Hollow Point Match - (BTHPM),40.00,20,Hunting,2.00
Rifle,30-06,30-06 - 180gn Interlock Soft Point - (BTSP),180gn Interlock Soft Point - (BTSP),40.00,20,Hunting,2.00
Rifle,30-06,30-06 - 200gn ELD-X,200gn ELD-X,45.00,20,Hunting,2.25
Rifle,308 Winchester,308 Winchester - 110gn V-Max,110gn V-Max,35.00,20,Hunting,1.75
Rifle,308 Winchester,308 Winchester - 130gn Interlock Soft Point - (PSP),130gn Interlock Soft Point - (PSP),35.00,20,Hunting,1.75
Rifle,308 Winchester,308 Winchester - 130gn Barnes TTSX - (Triple Shock),130gn Barnes TTSX - (Triple Shock),40.00,20,Hunting,2.00
Rifle,308 Winchester,308 Winchester - 150gn Core Lock Tipped,150gn Core Lock Tipped,40.00,20,Hunting,2.00
Rifle,308 Winchester,308 Winchester - 150gn Full Metal Jacket Boat Tail - (FMJBT),150gn Full Metal Jacket Boat Tail - (FMJBT),30.00,20,Target / Training,1.50
Rifle,308 Winchester,308 Winchester - 150gn Interlock Soft Point - (PSP),150gn Interlock Soft Point - (PSP),35.00,20,Hunting,1.75
Rifle,308 Winchester,308 Winchester - 150gn SST,150gn SST,40.00,20,Hunting,2.00
Rifle,308 Winchester,308 Winchester - 150gn Nosler Ballistic Tip,150gn Nosler Ballistic Tip,40.00,20,Hunting,2.00
Rifle,308 Winchester,308 Winchester - 168gn Boat Tail Hollow Point - (BTHP),168gn Boat Tail Hollow Point - (BTHP),40.00,20,Hunting,2.00
Rifle,308 Winchester,308 Winchester - 168gn A-Max,168gn A-Max,40.00,20,Hunting,2.00
Rifle,308 Winchester,308 Winchester - 175gn Sub-X - (subsonic),175gn Sub-X - (subsonic),30.00,20,Hunting,1.50
Rifle,308 Winchester,308 Winchester - 178gn ELD-X,178gn ELD-X,40.00,20,Hunting,2.00
Rifle,308 Winchester,308 Winchester - 180gn Interlock Soft Point - (PSP),180gn Interlock Soft Point - (PSP),40.00,20,Hunting,2.00
Rifle,308 Winchester,308 Winchester - 195gn ELD-X,195gn ELD-X,40.00,20,Hunting,2.00
Rifle,308 Winchester,308 Winchester - 200gn ELD-X,200gn ELD-X,40.00,20,Hunting,2.00
Rifle,308 Winchester,308 Winchester - 212 ELD-X,212 ELD-X,40.00,20,Hunting,2.00
Rifle,300 Winchester Magnum,300 Winchester Magnum - 150gn Nosler Ballistic Tip,150gn Nosler Ballistic Tip,45.00,20,Hunting,2.25
Rifle,300 Winchester Magnum,300 Winchester Magnum - 150gn Interlock Soft Point - (PSP),150gn Interlock Soft Point - (PSP),45.00,20,Hunting,2.25
Rifle,300 Winchester Magnum,300 Winchester Magnum - 150gn SST,150gn SST,45.00,20,Hunting,2.25
Rifle,300 Winchester Magnum,300 Winchester Magnum - 168gn Boat Tail Hollow Point - (BTHP),168gn Boat Tail Hollow Point - (BTHP),50.00,20,Hunting,2.50
Rifle,300 Winchester Magnum,300 Winchester Magnum - 180gn Interlock Soft Point - (PSP),180gn Interlock Soft Point - (PSP),50.00,20,Hunting,2.50
Rifle,300 Winchester Magnum,300 Winchester Magnum - 200gn ELD-X,200gn ELD-X,60.00,20,Hunting,3.00
